source_file,source_row,day,label,novel,label_test_n,score,threshold,logit_margin,top_toward_benign,top_toward_attack,train_rows_same_label,features_outside_train_label_p0.5_p99.5,median_same_for_label_TPs,exact_vector_in_train_benign,exact_vector_in_train_attack
wednesday.csv,33926,wednesday,DoS Slowhttptest,True,522,0.00193568,0.0275979,-2.68333,RST Flag Count=0 (-1.62); Bwd PSH Flags=6 (-1.04); FIN Flag Count=2 (-0.35),Bwd Packet Length Std=1532.26 (+0.76); Bwd Packet Length Min=0 (+0.63); Active Min=775 (+0.43),704,20,3,0,0
wednesday.csv,31256,wednesday,DoS Slowloris,True,1158,0.000402521,0.0275979,-4.25533,Fwd IAT Min=336 (-1.74); FIN Flag Count=3 (-1.46); Bwd Packet Length Mean=161 (-1.07),RST Flag Count=1 (+5.27); Bwd Init Win Bytes=235 (+1.19); Bwd PSH Flags=1 (+1.03),1871,14,1,0,0
wednesday.csv,345655,wednesday,Heartbleed,True,3,0.0134997,0.0275979,-0.729463,Bwd PSH Flags=34 (-1.97); Bwd Init Win Bytes=349 (-1.10); ACK Flag Count=1031 (-0.75),Bwd Packet Length Std=2365.63 (+3.74); RST Flag Count=1 (+2.43); Fwd PSH Flags=25 (+0.49),6,31,13,0,0
thursday.csv,78593,thursday,Infiltration,True,11,0.003236,0.0275979,-2.16815,RST Flag Count=0 (-1.49); SYN Flag Count=0 (-1.03); Bwd Init Win Bytes=1452 (-0.39),Fwd PSH Flags=26 (+0.98); Bwd Packet Length Mean=0 (+0.61); Bwd Segment Size Avg=0 (+0.47),20,6,14,0,0
thursday.csv,82838,thursday,Infiltration,True,11,0.003236,0.0275979,-2.16815,RST Flag Count=0 (-1.59); SYN Flag Count=0 (-1.06); Bwd Init Win Bytes=1452 (-0.40),Fwd PSH Flags=26 (+0.95); Bwd Packet Length Mean=0 (+0.62); Bwd Segment Size Avg=0 (+0.47),20,6,14,0,0
thursday.csv,135083,thursday,Infiltration,True,11,0.00705311,0.0275979,-1.38518,SYN Flag Count=0 (-1.75); ACK Flag Count=17 (-0.68); Bwd IAT Total=1.04989e+08 (-0.61),RST Flag Count=1 (+4.13); Bwd PSH Flags=0 (+0.63); Fwd Bytes/Bulk Avg=1869 (+0.37),20,16,14,0,0
thursday.csv,75443,thursday,Infiltration,True,11,0.00844662,0.0275979,-1.20348,RST Flag Count=0 (-1.36); SYN Flag Count=0 (-0.97); Bwd Init Win Bytes=1452 (-0.49),Fwd PSH Flags=20 (+1.58); Total Fwd Packet=20 (+0.95); Bwd Packet Length Mean=0 (+0.62),20,6,14,0,0
thursday.csv,79782,thursday,Infiltration,True,11,0.00844662,0.0275979,-1.20348,RST Flag Count=0 (-1.36); SYN Flag Count=0 (-0.97); Bwd Init Win Bytes=1452 (-0.48),Fwd PSH Flags=20 (+1.58); Total Fwd Packet=20 (+0.95); Bwd Packet Length Mean=0 (+0.62),20,6,14,0,0
thursday.csv,74165,thursday,Infiltration,True,11,0.0118372,0.0275979,-0.862571,RST Flag Count=0 (-1.36); SYN Flag Count=0 (-0.99); Bwd Init Win Bytes=1452 (-0.39),Fwd PSH Flags=25 (+1.56); Total Fwd Packet=25 (+0.94); Bwd Packet Length Mean=0 (+0.60),20,6,14,0,0
thursday.csv,84482,thursday,Infiltration,True,11,0.0118372,0.0275979,-0.862571,RST Flag Count=0 (-1.37); SYN Flag Count=0 (-0.96); Bwd Init Win Bytes=1452 (-0.39),Fwd PSH Flags=21 (+1.58); Total Fwd Packet=21 (+0.95); Bwd Packet Length Mean=0 (+0.61),20,10,14,0,0
thursday.csv,85775,thursday,Infiltration,True,11,0.0198111,0.0275979,-0.339476,RST Flag Count=0 (-1.76); SYN Flag Count=0 (-0.79); Fwd Seg Size Min=20 (-0.30),Bwd Packet Length Mean=0 (+1.18); Fwd Packet Length Mean=357.22 (+0.70); Fwd Act Data Pkts=40 (+0.46),20,6,14,0,0
thursday.csv,81193,thursday,Infiltration,True,11,0.0207637,0.0275979,-0.291535,RST Flag Count=0 (-1.75); SYN Flag Count=0 (-0.79); Fwd Seg Size Min=20 (-0.30),Bwd Packet Length Mean=0 (+1.17); Fwd Packet Length Mean=349.733 (+0.70); Bwd Segment Size Avg=0 (+0.47),20,7,14,0,0
thursday.csv,76465,thursday,Infiltration,True,11,0.0253727,0.0275979,-0.0863522,RST Flag Count=0 (-1.60); SYN Flag Count=0 (-0.77); Fwd Seg Size Min=20 (-0.28),Bwd Packet Length Mean=0 (+1.21); Fwd Packet Length Mean=396.824 (+0.70); Fwd PSH Flags=34 (+0.56),20,1,14,0,0
thursday.csv,354835,thursday,Infiltration - Portscan,True,21530,0.0150838,0.0275979,-0.616905,RST Flag Count=0 (-2.58); SYN Flag Count=0 (-0.54); Bwd Init Win Bytes=0 (-0.24),Total Length of Bwd Packet=386 (+1.14); Packet Length Min=50 (+1.05); Total Length of Fwd Packet=100 (+0.73),40188,22,0,0,0
friday.csv,426946,friday,Portscan,True,47720,7.40595e-05,0.0275979,-5.94854,RST Flag Count=0 (-2.92); SYN Flag Count=0 (-0.51); Flow IAT Min=161 (-0.41),Bwd PSH Flags=0 (+0.27); Fwd Packet Length Std=0 (+0.10); Flow IAT Mean=161 (+0.08),89075,27,0,0,0
friday.csv,77841,friday,Portscan,True,47720,0.000306765,0.0275979,-4.52709,RST Flag Count=0 (-2.80); SYN Flag Count=0 (-1.12); Fwd Seg Size Min=0 (-0.64),Bwd Packet Length Mean=0 (+0.58); Protocol=0 (+0.41); Fwd IAT Min=1 (+0.34),89075,31,0,0,0
friday.csv,91535,friday,Portscan,True,47720,0.000635868,0.0275979,-3.79785,RST Flag Count=0 (-2.03); FIN Flag Count=2 (-0.43); Flow Duration=5.00281e+06 (-0.37),Bwd Init Win Bytes=227 (+1.15); Bwd Packet Length Min=0 (+0.53); Bwd Packet Length Mean=0 (+0.29),89075,31,0,0,0
friday.csv,76374,friday,Portscan,True,47720,0.0008893,0.0275979,-3.46216,RST Flag Count=0 (-1.98); Fwd IAT Min=3.34348e+06 (-1.45); SYN Flag Count=0 (-0.42),Protocol=1 (+1.78); Bwd Packet Length Min=0 (+0.25); Bwd Packet Length Mean=0 (+0.22),89075,22,0,0,0
friday.csv,75712,friday,Portscan,True,47720,0.000914228,0.0275979,-3.43449,RST Flag Count=0 (-1.64); Fwd IAT Min=3.14924e+06 (-1.26); SYN Flag Count=0 (-0.40),Protocol=1 (+1.79); Bwd Packet Length Min=0 (+0.25); Bwd Packet Length Mean=0 (+0.23),89075,27,0,0,0
friday.csv,75732,friday,Portscan,True,47720,0.000914228,0.0275979,-3.43449,RST Flag Count=0 (-1.64); Fwd IAT Min=3.65378e+06 (-1.24); SYN Flag Count=0 (-0.40),Protocol=1 (+1.79); Bwd Packet Length Min=0 (+0.25); Bwd Packet Length Mean=0 (+0.23),89075,27,0,0,0
friday.csv,75781,friday,Portscan,True,47720,0.000914228,0.0275979,-3.43449,RST Flag Count=0 (-1.64); Fwd IAT Min=3.15377e+06 (-1.26); SYN Flag Count=0 (-0.40),Protocol=1 (+1.79); Bwd Packet Length Min=0 (+0.25); Bwd Packet Length Mean=0 (+0.23),89075,27,0,0,0
friday.csv,75924,friday,Portscan,True,47720,0.000914228,0.0275979,-3.43449,RST Flag Count=0 (-1.66); Fwd IAT Min=2.75023e+06 (-1.24); SYN Flag Count=0 (-0.40),Protocol=1 (+1.79); Bwd Packet Length Min=0 (+0.25); Bwd Packet Length Mean=0 (+0.23),89075,27,0,0,0
friday.csv,75815,friday,Portscan,True,47720,0.000979903,0.0275979,-3.36505,RST Flag Count=0 (-1.72); Fwd IAT Min=1.75099e+06 (-1.33); SYN Flag Count=0 (-0.40),Protocol=1 (+1.81); Bwd Packet Length Min=0 (+0.24); Bwd Packet Length Mean=0 (+0.22),89075,27,0,0,0
friday.csv,91538,friday,Portscan,True,47720,0.001379,0.0275979,-3.02298,RST Flag Count=0 (-1.98); FIN Flag Count=2 (-0.44); Flow Duration=5.00232e+06 (-0.37),Bwd Init Win Bytes=227 (+1.14); Bwd Packet Length Min=0 (+0.50); Bwd Packet Length Mean=0 (+0.38),89075,30,0,0,0
friday.csv,77842,friday,Portscan,True,47720,0.00154926,0.0275979,-2.9064,RST Flag Count=0 (-1.69); Fwd IAT Min=1.30315e+06 (-1.34); SYN Flag Count=0 (-0.40),Protocol=1 (+1.82); Bwd Packet Length Mean=0 (+0.29); Bwd Packet Length Min=0 (+0.24),89075,27,0,0,0
friday.csv,310918,friday,Portscan,True,47720,0.00706056,0.0275979,-1.38412,RST Flag Count=0 (-1.32); Fwd IAT Min=100178 (-0.88); Flow IAT Min=100178 (-0.77),Bwd Header Length=0 (+1.15); Flow Packets/s=7.98309 (+0.74); Protocol=0 (+0.72),89075,26,0,0,0
friday.csv,223687,friday,Portscan,True,47720,0.017428,0.0275979,-0.470068,RST Flag Count=0 (-1.85); FIN Flag Count=2 (-0.40); Flow Duration=3.57595e+06 (-0.36),Bwd Init Win Bytes=227 (+1.51); Bwd Packet Length Mean=0 (+0.66); Bwd Packet Length Min=0 (+0.58),89075,25,0,0,0
